ProcessorLoad,MemoryUsage,OutBandwidth,Latency,CLPVariation
0.013,0.544,0.849,0.904,0.762
0.544,0.002,0.09,0.646,0.765
0.988,0.253,0.629,0.503,-0.765
0.88,0.74,0.085,0.004,-0.297
0.72,0.44,0.519,0.817,0.743
0.446,0.065,0.1,0.545,0.765
0.378,0.053,0.597,0.172,0.765
0.325,0.33,0.364,0.406,0.758
0.769,0.231,0.452,0.783,0.762
0.157,0.715,0.463,0.079,0.702
0.952,0.721,0.428,0.63,-0.764
0.975,0.261,0.43,0.63,-0.763
0.796,0.716,0.432,0.91,-0.75
0.914,0.997,0.841,0.443,-0.765
0.075,0.886,0.048,0.346,-0.297
0.925,0.036,0.414,0.283,-0.755
0.848,0.698,0.261,0.812,-0.425
0.925,0.074,0.521,0.053,-0.76
0.961,0.189,0.121,0.026,-0.297
0.796,0.852,0.915,0.189,-0.765
0.984,0.246,0.339,0.685,-0.535
0.96,0.918,0.248,0.7,-0.405
0.909,0.742,0.2,0.555,-0.297
0.939,0.941,0.413,0.634,-0.737
0.166,0.449,0.791,0.385,0.765
0.666,0.316,0.095,0.483,0.765
0.114,0.628,0.075,0.497,0.765
0.499,0.386,0.485,0.11,0.742
0.89,0.709,0.821,0.624,-0.754
0.184,0.541,0.068,0.666,0.765
0.892,0.489,0.038,0.509,-0.297
0.187,0.396,0.863,0.772,0.762
0.969,0.357,0.314,0.068,-0.504
0.838,0.558,0.23,0.825,-0.376
0.119,0.559,0.577,0.61,0.761
0.5,0.367,0.238,0.198,0.765
0.398,0.853,0.499,0.567,-0.762
0.979,0.651,0.725,0.203,-0.765
0.801,0.07,0.064,0.576,-0.297
0.736,0.826,0.579,0.573,-0.765
0.644,0.362,0.258,0.524,0.76
0.406,0.947,0.633,0.046,-0.765
0.701,0.137,0.208,0.002,0.764
0.536,0.229,0.539,0.581,0.765
0.95,0.283,0.867,0.16,-0.765
0.461,0.274,0.762,0.896,0.762
0.872,0.211,0.321,0.051,-0.515
0.361,0.919,0.642,0.711,-0.761
0.143,0.706,0.112,0.927,0.762
0.555,0.74,0.045,0.413,0.216
0.573,0.062,0.339,0.951,0.756
0.266,0.967,0.503,0.333,-0.75
0.099,0.197,0.44,0.62,0.762
0.921,0.569,0.455,0.695,-0.759
0.964,0.353,0.762,0.542,-0.765
0.002,0.84,0.816,0.227,-0.765
0.891,0.012,0.167,0.06,-0.297
0.358,0.25,0.228,0.624,0.765
0.832,0.771,0.587,0.741,-0.761
0.652,0.134,0.461,0.423,0.754
0.766,0.417,0.256,0.632,0.747
0.303,0.283,0.235,0.812,0.765
0.484,0.871,0.903,0.34,-0.765
0.889,0.75,0.666,0.677,-0.751
0.831,0.744,0.289,0.579,-0.447
0.066,0.122,0.613,0.018,0.765
0.128,0.299,0.188,0.23,0.765
0.406,0.528,0.912,0.69,0.757
0.049,0.27,0.356,0.084,0.758
0.679,0.253,0.82,0.118,0.765
0.596,0.279,0.843,0.522,0.765
0.302,0.957,0.929,0.218,-0.765
0.457,0.927,0.529,0.891,-0.762
0.417,0.442,0.965,0.732,0.762
0.692,0.599,0.041,0.337,0.759
0.443,0.981,0.245,0.61,-0.401
0.146,0.614,0.481,0.337,0.743
0.374,0.744,0.157,0.857,0.745
0.205,0.993,0.545,0.562,-0.765
0.061,0.756,0.073,0.341,0.751
0.899,0.286,0.753,0.733,-0.762
0.128,0.318,0.127,0.78,0.765
0.783,0.546,0.907,0.637,-0.291
0.999,0.27,0.899,0.909,-0.762
0.017,0.474,0.767,0.525,0.765
0.994,0.948,0.849,0.207,-0.765
0.562,0.602,0.163,0.954,0.756
0.07,0.342,0.657,0.296,0.765
0.621,0.199,0.919,0.629,0.751
0.12,0.953,0.383,0.767,-0.642
0.498,0.047,0.951,0.501,0.765
0.209,0.054,0.499,0.41,0.75
0.05,0.436,0.749,0.373,0.765
0.465,0.256,0.219,0.67,0.765
0.404,0.108,0.295,0.504,0.75
0.959,0.101,0.739,0.136,-0.765
0.06,0.58,0.508,0.143,0.753
0.217,0.686,0.094,0.495,0.765
0.346,0.568,0.343,0.56,0.752
0.729,0.139,0.296,0.182,0.747
0.51,0.32,0.945,0.376,0.765
0.905,0.466,0.268,0.489,-0.435
0.561,0.827,0.063,0.342,-0.297
0.358,0.884,0.337,0.985,-0.541
0.849,0.166,0.451,0.94,-0.762
0.037,0.903,0.384,0.181,-0.646
0.663,0.88,0.252,0.346,-0.411
0.186,0.668,0.405,0.493,0.763
0.9,0.27,0.475,0.043,-0.747
0.237,0.817,0.881,0.593,-0.765
0.609,0.131,0.064,0.586,0.765
0.714,0.23,0.532,0.242,0.664
0.788,0.996,0.423,0.97,-0.764
0.463,0.875,0.32,0.768,-0.513
0.304,0.262,0.762,0.471,0.765
0.436,0.207,0.321,0.284,0.754
0.671,0.589,0.861,0.038,0.208
0.902,0.681,0.363,0.746,-0.59
0.608,0.884,0.876,0.355,-0.765
0.649,0.053,0.086,0.18,0.765
0.167,0.403,0.508,0.2,0.753
0.348,0.374,0.27,0.566,0.757
0.375,0.254,0.575,0.306,0.765
0.255,0.891,0.374,0.718,-0.613
0.808,0.778,0.163,0.563,-0.297
0.327,0.811,0.935,0.927,-0.762
0.698,0.185,0.392,0.164,0.762
0.334,0.949,0.977,0.822,-0.762
0.259,0.441,0.648,0.57,0.765
0.807,0.702,0.361,0.753,-0.586
0.047,0.248,0.398,0.099,0.763
0.761,0.842,0.159,0.308,-0.297
0.596,0.693,0.073,0.661,0.759
0.504,0.61,0.396,0.644,0.742
0.98,0.716,0.348,0.764,-0.56
0.693,0.142,0.866,0.842,0.762
0.386,0.177,0.84,0.14,0.765
0.809,0.104,0.845,0.177,-0.765
0.117,0.285,0.524,0.564,0.765
0.278,0.418,0.9,0.131,0.765
0.341,0.174,0.66,0.931,0.762
0.88,0.756,0.836,0.674,-0.75
0.867,0.022,0.759,0.955,-0.762
0.544,0.256,0.195,0.4,0.765
0.794,0.097,0.223,0.23,-0.239
0.67,0.798,0.009,0.304,-0.297
0.502,0.143,0.876,0.862,0.762
0.212,0.719,0.302,0.081,0.751
0.982,0.679,0.742,0.296,-0.765
0.31,0.792,0.561,0.672,-0.065
0.426,0.658,0.197,0.332,0.75
0.561,0.151,0.722,0.62,0.756
0.647,0.032,0.493,0.976,0.762
0.572,0.329,0.854,0.184,0.765
0.481,0.208,0.459,0.732,0.762
0.803,0.577,0.708,0.852,-0.762
0.96,0.201,0.039,0.353,-0.297
0.973,0.341,0.518,0.951,-0.762
0.578,0.802,0.289,0.35,-0.466
0.614,0.415,0.111,0.952,0.765
0.542,0.312,0.135,0.781,0.765
0.179,0.326,0.597,0.16,0.765
0.611,0.859,0.958,0.569,-0.765
0.492,0.255,0.513,0.274,0.756
0.188,0.202,0.002,0.138,0.765
0.148,0.103,0.739,0.239,0.765
0.562,0.868,0.121,0.775,-0.297
0.458,0.108,0.632,0.628,0.752
0.779,0.152,0.143,0.149,0.387
0.092,0.741,0.332,0.455,0.739
0.684,0.615,0.465,0.432,0.643
0.853,0.419,0.338,0.034,-0.543
0.506,0.363,0.639,0.499,0.765
0.89,0.68,0.985,0.194,-0.765
0.822,0.518,0.472,0.526,-0.742
0.222,0.299,0.829,0.799,0.762
0.778,0.964,0.771,0.559,-0.765
0.053,0.553,0.428,0.621,0.764
0.294,0.659,0.047,0.597,0.765
0.691,0.993,0.628,0.837,-0.761
0.427,0.128,0.681,0.17,0.765
0.429,0.805,0.71,0.227,-0.765
0.27,0.147,0.066,0.954,0.765
0.151,0.825,0.912,0.427,-0.765
0.139,0.084,0.285,0.758,0.749
0.214,0.032,0.164,0.928,0.765
0.741,0.882,0.666,0.671,-0.749
0.479,0.303,0.123,0.963,0.765
0.953,0.749,0.151,0.448,-0.297
0.351,0.314,0.629,0.952,0.761
0.18,0.726,0.262,0.896,0.749
0.227,0.378,0.644,0.216,0.765
0.385,0.79,0.431,0.99,0.386
0.927,0.619,0.058,0.255,-0.297
0.085,0.452,0.643,0.855,0.761
0.844,0.106,0.182,0.233,-0.297
0.724,0.226,0.344,0.792,0.751
0.631,0.924,0.637,0.829,-0.761
0.32,0.043,0.094,0.325,0.765
0.199,0.965,0.336,0.431,-0.527
0.898,0.474,0.355,0.44,-0.558
0.14,0.069,0.012,0.877,0.765
0.683,0.815,0.214,0.039,-0.34
0.357,0.16,0.795,0.54,0.765
0.389,0.449,0.508,0.993,0.762
0.902,0.8,0.067,0.31,-0.297
0.246,0.845,0.492,0.415,-0.746
0.666,0.934,0.204,0.262,-0.31
0.359,0.623,0.185,0.319,0.765
0.493,0.599,0.614,0.097,0.481
0.452,0.187,0.245,0.28,0.765
0.71,0.603,0.538,0.532,0.131
0.469,0.06,0.07,0.664,0.765
0.119,0.887,0.826,0.849,-0.762
0.59,0.488,0.72,0.233,0.499
0.929,0.745,0.384,0.433,-0.632
0.273,0.047,0.543,0.925,0.762
0.668,0.53,0.9,0.227,0.214
0.745,0.522,0.046,0.406,0.659
0.349,0.338,0.956,0.942,0.762
0.793,0.866,0.298,0.542,-0.445
0.959,0.006,0.817,0.787,-0.762
0.065,0.019,0.263,0.119,0.758
0.175,0.679,0.67,0.443,0.765
0.0,0.07,0.25,0.167,0.764
0.343,0.88,0.399,0.523,-0.649
0.272,0.67,0.152,0.242,0.765
0.011,0.121,0.731,0.859,0.762
0.116,0.047,0.817,0.076,0.765
0.482,0.356,0.002,0.728,0.765
0.842,0.478,0.891,0.83,-0.762
0.895,0.203,0.861,0.245,-0.765
0.771,0.324,0.894,0.167,0.231
0.513,0.491,0.59,0.136,0.488
0.683,0.747,0.777,0.871,0.116
0.788,0.179,0.398,0.868,-0.1
0.412,0.339,0.261,0.278,0.759
0.97,0.492,0.78,0.032,-0.765
0.663,0.415,0.24,0.718,0.753
0.428,0.352,0.068,0.054,0.765
0.652,0.938,0.336,0.18,-0.54
0.398,0.763,0.859,0.079,0.437
0.216,0.291,0.352,0.117,0.757
0.777,0.183,0.072,0.594,0.548
0.911,0.938,0.509,0.93,-0.762
0.381,0.628,0.303,0.05,0.751
0.157,0.538,0.721,0.748,0.762
0.857,0.563,0.632,0.839,-0.761
0.236,0.875,0.638,0.831,-0.761
0.411,0.552,0.977,0.872,0.762
0.093,0.363,0.497,0.865,0.762
0.035,0.539,0.791,0.408,0.765
0.155,0.941,0.037,0.421,-0.297
0.729,0.282,0.733,0.488,0.552
0.038,0.756,0.778,0.039,0.312
0.666,0.687,0.872,0.012,0.211
0.615,0.921,0.228,0.78,-0.372
0.537,0.467,0.345,0.309,0.75
0.222,0.379,0.002,0.437,0.765
0.466,0.705,0.756,0.565,0.359
0.023,0.929,0.431,0.112,-0.763
0.228,0.722,0.06,0.439,0.752
0.58,0.602,0.075,0.762,0.756
0.807,0.223,0.689,0.289,-0.765
0.609,0.788,0.65,0.419,-0.679
0.907,0.729,0.556,0.923,-0.762
0.186,0.772,0.498,0.969,0.762
0.685,0.293,0.131,0.143,0.765
0.729,0.91,0.545,0.782,-0.762
0.722,0.056,0.635,0.968,0.752
0.998,0.404,0.652,0.932,-0.762
0.709,0.853,0.175,0.944,-0.297
0.586,0.527,0.242,0.69,0.748
0.597,0.841,0.897,0.421,-0.765
0.292,0.287,0.237,0.737,0.765
0.705,0.161,0.139,0.768,0.762
0.963,0.497,0.392,0.794,-0.671
0.488,0.512,0.747,0.694,0.742
0.438,0.713,0.187,0.829,0.742
0.166,0.793,0.199,0.852,-0.125
0.129,0.129,0.629,0.08,0.765
0.761,0.009,0.63,0.272,0.257
0.108,0.211,0.893,0.894,0.762
0.333,0.429,0.924,0.4,0.765
0.555,0.133,0.852,0.347,0.765
0.534,0.728,0.813,0.203,0.182
0.825,0.61,0.29,0.912,-0.468
0.124,0.242,0.064,0.766,0.765
0.825,0.837,0.448,0.929,-0.762
0.581,0.893,0.659,0.715,-0.761
0.262,0.191,0.502,0.95,0.762
0.914,0.944,0.151,0.026,-0.297
0.684,0.772,0.596,0.509,-0.321
0.586,0.926,0.515,0.54,-0.765
0.827,0.329,0.586,0.517,-0.765
0.071,0.701,0.497,0.119,0.737
0.549,0.435,0.837,0.14,0.716
0.671,0.745,0.647,0.743,0.141
0.077,0.107,0.176,0.445,0.765
0.097,0.851,0.944,0.427,-0.765
0.539,0.46,0.514,0.19,0.608
0.592,0.73,0.117,0.924,0.3
0.545,0.667,0.814,0.006,0.208
0.881,0.616,0.407,0.708,-0.722
0.467,0.582,0.204,0.056,0.75
0.28,0.737,0.255,0.536,0.741
0.649,0.365,0.799,0.991,0.762
0.064,0.399,0.504,0.26,0.751
0.816,0.783,0.156,0.871,-0.297
0.265,0.303,0.746,0.485,0.765
0.462,0.326,0.832,0.553,0.765
0.26,0.785,0.066,0.343,0.218
0.492,0.616,0.907,0.27,0.449
0.574,0.519,0.161,0.049,0.745
0.817,0.298,0.783,0.2,-0.765
0.747,0.187,0.351,0.338,0.744
0.224,0.423,0.562,0.983,0.762
0.581,0.163,0.132,0.946,0.765
0.542,0.022,0.639,0.771,0.761
0.456,0.82,0.432,0.527,-0.763
0.182,0.747,0.84,0.035,0.403
0.372,0.482,0.342,0.437,0.755
0.829,0.142,0.473,0.917,-0.762
0.793,0.278,0.619,0.549,-0.377
0.669,0.717,0.842,0.516,0.083
0.35,0.894,0.516,0.14,-0.757
0.16,0.888,0.657,0.317,-0.765
0.164,0.335,0.514,0.427,0.76
0.029,0.385,0.112,0.835,0.765
0.164,0.295,0.667,0.196,0.765
0.501,0.818,0.665,0.097,-0.765
0.911,0.562,0.563,0.387,-0.765
0.658,0.381,0.226,0.396,0.764
0.472,0.775,0.082,0.96,0.764
0.674,0.796,0.957,0.043,-0.765
0.02,0.166,0.447,0.398,0.762
0.984,0.7,0.382,0.18,-0.64
0.756,0.211,0.313,0.361,0.751
0.548,0.152,0.099,0.705,0.765
0.956,0.771,0.848,0.852,-0.762
0.153,0.674,0.021,0.372,0.765
0.19,0.418,0.52,0.978,0.762
0.641,0.396,0.21,0.784,0.764
0.579,0.027,0.367,0.898,0.759
0.211,0.589,0.255,0.471,0.762
0.293,0.867,0.935,0.896,-0.762
0.679,0.803,0.023,0.985,-0.297
0.014,0.343,0.289,0.327,0.749
0.627,0.045,0.726,0.443,0.765
0.92,0.909,0.279,0.304,-0.451
0.69,0.561,0.787,0.385,0.212
0.694,0.436,0.754,0.581,0.467
0.23,0.858,0.997,0.779,-0.762
0.515,0.482,0.53,0.229,0.522
0.514,0.208,0.091,0.772,0.765
0.612,0.528,0.526,0.831,0.75
0.765,0.472,0.008,0.133,0.757
0.786,0.434,0.89,0.076,0.101
0.011,0.74,0.192,0.597,0.739
0.076,0.725,0.021,0.817,0.75
0.727,0.222,0.008,0.681,0.749
0.502,0.153,0.564,0.67,0.748
0.227,0.743,0.113,0.828,0.741
0.947,0.36,0.038,0.193,-0.297
0.403,0.055,0.94,0.566,0.765
0.691,0.829,0.971,0.962,-0.762
0.275,0.651,0.633,0.053,0.765
0.878,0.894,0.462,0.141,-0.754
0.481,0.897,0.768,0.784,-0.762
0.014,0.434,0.062,0.166,0.765
